Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
13-August-2014,475.10,479.70,466.50,472.65,472.735341767042483510,545035,15486,257657307.00,130979,24.03,13.20,-2.45
12-August-2014,481.20,484.00,468.65,473.90,473.947685111285386115,1440890,36323,682906480.00,290298,20.15,15.35,-7.30
11-August-2014,440.40,449.10,437.55,447.40,445.088395734233543041,521360,15721,232051286.00,108762,20.86,11.55,7.00
8-August-2014,438.00,438.10,430.50,433.00,432.866268084825262601,302740,10069,131045934.00,116287,38.41,7.60,-5.00
7-August-2014,450.00,450.00,440.10,442.15,444.300021836785625155,256448,10119,113939852.00,61300,23.90,9.90,-7.85
6-August-2014,454.80,454.80,445.45,447.35,448.771902834008097165,271700,8675,121931326.00,66077,24.32,9.35,-7.45
5-August-2014,450.40,458.05,444.55,456.65,452.801993783953000986,266729,7446,120775423.00,67322,25.24,13.50,6.25
4-August-2014,441.00,448.00,441.00,446.80,445.531950590867091377,205630,5665,91614735.00,36571,17.78,7.00,5.80
1-August-2014,445.00,455.05,437.55,439.50,451.380242443177013351,1702832,16953,768624721.00,154520,9.07,17.50,-5.50
31-July-2014,452.80,454.70,445.05,446.90,449.842830558768797465,258479,7685,116274925.00,95804,37.06,9.65,-5.90
30-July-2014,458.00,458.00,442.25,451.35,448.230435274308260661,318328,9459,142684298.00,101419,31.86,15.75,-6.65
28-July-2014,459.40,470.00,451.10,453.15,459.828373250952961861,341829,10917,157182673.00,52861,15.46,18.90,-6.25
25-July-2014,486.70,486.70,456.20,461.90,466.116376833106871129,525474,8987,244932037.00,285723,54.37,30.50,-24.80
24-July-2014,484.00,487.10,477.25,485.60,482.997899529103733953,204716,6156,98877398.00,40916,19.99,9.85,1.60
23-July-2014,486.00,488.05,476.50,483.80,483.008825039905614546,360225,7320,173991854.00,127745,35.46,11.55,-2.20
22-July-2014,475.00,487.45,472.40,485.40,481.459008264462809917,350900,9703,168943966.00,100661,28.69,15.05,10.40
21-July-2014,477.00,478.50,470.00,474.35,473.798023481328178895,307308,4564,145601923.00,187367,60.97,8.50,-2.65
18-July-2014,472.00,477.45,466.25,475.20,472.831257107682034909,383388,12423,181277830.00,173718,45.31,11.20,3.20
17-July-2014,466.80,476.95,465.05,474.90,470.710407171340868218,396467,7437,186621143.00,182661,46.07,11.90,8.10
16-July-2014,465.25,471.65,462.00,470.35,467.521445162684336568,333222,10360,155788431.00,122547,36.78,9.65,5.10
15-July-2014,457.90,465.00,456.60,463.05,460.402874721162840900,500292,7612,230335875.00,273736,54.72,8.40,5.15
14-July-2014,445.00,459.70,442.50,456.25,450.431608697290575422,265370,7896,119531036.00,61571,23.20,17.20,11.25
11-July-2014,454.00,461.30,444.00,445.50,449.539101023281368037,291220,7865,130914777.00,69300,23.80,17.30,-8.50
10-July-2014,460.25,474.80,450.20,452.85,461.034509079855442847,444115,12098,204752341.00,34664,7.81,24.60,-7.40
9-July-2014,469.40,469.90,453.00,456.90,459.347026435196395296,284961,8821,130895988.00,59222,20.78,16.90,-12.50
8-July-2014,480.00,484.05,465.50,468.40,476.039558899991080538,459669,12196,218820628.00,103150,22.44,18.55,-11.60
7-July-2014,473.00,479.95,472.20,478.75,476.097663595925961215,398818,9883,189876318.00,155588,39.01,7.75,5.75
4-July-2014,469.35,474.20,466.20,468.45,469.743342882353652198,330924,9538,155449346.00,56970,17.22,8.00,-0.90
3-July-2014,456.00,471.80,456.00,468.80,468.530393427216676871,351145,9116,164522105.00,98213,27.97,15.80,12.80
2-July-2014,450.15,458.30,445.00,455.00,452.582607060100426899,648631,16208,293559109.00,129931,20.03,13.30,4.85
1-July-2014,432.00,453.00,432.00,450.95,445.545710911721761524,608859,15913,271274516.00,171426,28.16,21.00,18.95
30-June-2014,434.00,435.95,429.10,431.15,433.052300907271585927,186383,7892,80713587.00,82618,44.33,6.85,-2.85
27-June-2014,437.70,440.45,430.00,432.25,434.044343669280847134,256677,6958,111409200.00,74875,29.17,10.45,-5.45
26-June-2014,445.40,448.70,436.25,437.95,442.190845491784415703,260724,7498,115289766.00,67954,26.06,12.45,-7.45
25-June-2014,441.70,448.60,439.05,443.40,445.199110782461722012,321856,8346,143290005.00,64409,20.01,9.55,1.70
24-June-2014,434.40,445.50,434.40,442.15,440.879703079221335680,345412,10346,152285140.00,96248,27.86,11.10,7.75
23-June-2014,436.70,442.45,431.75,435.55,436.943009202794101341,234494,7287,102460514.00,52593,22.43,10.70,-1.15
20-June-2014,442.00,442.20,433.50,436.85,437.057940518299285353,277060,7831,121091273.00,49223,17.77,8.70,-5.15
19-June-2014,437.35,443.60,435.00,438.45,439.640174681079167117,1525065,15619,670479843.00,71394,4.68,8.60,1.10
18-June-2014,443.90,444.90,430.50,433.85,436.282725987091239334,298402,10776,130187638.00,79939,26.79,14.40,-10.05
17-June-2014,432.00,442.55,427.15,440.65,435.568831064576428628,348796,10907,151924666.00,110865,31.79,15.40,8.65
16-June-2014,436.00,438.00,429.00,430.90,431.851868459252616298,263158,7861,113645274.00,53620,20.38,9.00,-5.10
13-June-2014,450.00,450.55,435.20,437.80,441.611886265176231480,299152,8526,132109079.00,46581,15.57,15.35,-12.20
12-June-2014,445.90,451.30,442.25,449.65,447.902341718339774953,321089,7899,143816515.00,79152,24.65,9.05,3.75
11-June-2014,454.00,454.00,437.90,445.60,446.461152957900183830,496653,12142,221736271.00,92894,18.70,16.10,-8.40
10-June-2014,452.45,454.90,442.40,452.30,449.974800153052254935,483495,12216,217560566.00,67622,13.99,12.50,-0.15
9-June-2014,439.60,453.00,439.20,448.40,447.428054491272882077,624834,14444,279568261.00,179116,28.67,13.80,8.80
6-June-2014,436.00,440.00,428.70,438.55,435.642620339701917898,655457,15637,285545005.00,159662,24.36,11.30,2.55
5-June-2014,421.70,436.00,417.00,434.80,429.886266113023050183,807499,18561,347132730.00,167501,20.74,19.00,13.10
4-June-2014,424.75,429.10,419.10,421.70,424.492135467301246426,413502,10725,175528347.00,121201,29.31,10.00,-3.05
3-June-2014,417.00,423.85,416.15,420.45,420.803296479685274367,427547,11229,179913187.00,74854,17.51,7.70,3.45
2-June-2014,418.00,422.50,410.75,421.10,418.908041902690499624,290578,8227,121725461.00,58774,20.23,11.75,3.10
30-May-2014,413.70,421.90,407.05,415.45,416.108807062289447482,586552,18835,244069453.00,97607,16.64,14.85,1.75
29-May-2014,425.00,432.65,421.75,423.80,427.194030971656878501,332885,11011,142206485.00,78455,23.57,10.90,-1.20
28-May-2014,436.50,436.50,423.50,428.85,428.245064684753088222,410916,12950,175972749.00,150573,36.64,13.00,-7.65
27-May-2014,444.00,450.90,433.50,436.45,440.126687026524022758,320238,11698,140945290.00,78364,24.47,17.40,-7.55
26-May-2014,437.00,453.40,436.00,443.30,444.721311986404955910,866198,23481,385216711.00,276977,31.98,17.40,6.30
23-May-2014,428.80,439.90,425.15,431.40,432.290801835263272886,530932,13072,229517020.00,168644,31.76,14.75,2.60
22-May-2014,436.00,441.00,428.50,430.40,433.576066173604838302,436186,11448,189119810.00,189967,43.55,12.50,-5.60
21-May-2014,440.50,444.65,434.05,437.10,438.817011304891211725,352060,11581,154489917.00,107906,30.65,10.60,-3.40
20-May-2014,445.10,451.75,436.65,439.75,442.262791514199488968,492729,13259,217915703.00,141698,28.76,15.10,-5.35
19-May-2014,454.65,457.80,442.90,444.35,449.966042816620668506,417408,11290,187819426.00,121905,29.21,14.90,-10.30
16-May-2014,440.00,464.20,440.00,449.80,455.949639486134260656,1076935,25425,491028125.00,354398,32.91,24.20,9.80
15-May-2014,445.00,448.75,437.10,439.30,443.075137651640628497,357424,10197,158365688.00,120229,33.64,11.65,-5.70
14-May-2014,440.00,445.80,434.15,442.40,439.988684614270165050,269191,8301,118440994.00,53677,19.94,11.65,2.40
13-May-2014,448.00,455.55,438.60,440.80,448.599282846547549725,489435,13601,219560190.00,140983,28.81,16.95,-7.20
12-May-2014,426.50,446.00,426.50,445.00,438.463130736724289119,907748,23743,398014030.00,328609,36.20,19.50,18.50
9-May-2014,424.25,429.00,419.40,427.50,425.432176424358982550,313018,10942,133167929.00,100026,31.96,9.60,3.25
8-May-2014,417.55,424.00,417.55,422.15,421.425848255925283060,161891,6503,68225052.00,37425,23.12,6.45,4.60
7-May-2014,419.00,421.45,415.40,416.50,418.401781254735140777,178189,5991,74554595.00,36890,20.70,6.05,-2.50
6-May-2014,415.00,421.65,414.50,418.30,418.767616918203838270,214680,6949,89901032.00,44956,20.94,7.15,3.30
5-May-2014,410.00,415.75,409.00,414.25,412.842679264722511904,238767,8171,98573208.00,50871,21.31,6.75,4.25
2-May-2014,416.20,419.95,411.25,414.70,415.084332799362555091,240962,9688,100019551.00,70014,29.06,8.70,-1.50
30-April-2014,412.75,418.00,404.80,414.45,412.554993330671791681,323121,9753,133305182.00,45354,14.04,13.20,1.70
